TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T010906_3.00	F024_3.00	TS12_3.00	M00166_3.00	MS02_3.00	ENSMUSG00000021359	Tfap2a	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	Tcfap2a_2337	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010906_3.00	F024_3.00	TS12_3.00	M02972_3.00	MS36_3.00	ENSMUSG00000021359	Tfap2a	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	Tcfap2a_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010906_3.00	F024_3.00	TS12_3.00	M02973_3.00	MS36_3.00	ENSMUSG00000021359	Tfap2a	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	Tcfap2a_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010906_3.00	F024_3.00	TS12_3.00	M02974_3.00	MS36_3.00	ENSMUSG00000021359	Tfap2a	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	Tcfap2a_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010906_3.00	F024_3.00	TS12_3.00	M09827_3.00	MS30_3.00	ENSMUSG00000021359	Tfap2a	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	AP2A_MOUSE.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010907_3.00	F024_3.00	TS12_3.00	M00167_3.00	MS02_3.00	ENSMUSG00000025927	Tfap2b	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	Tcfap2b_3988	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010907_3.00	F024_3.00	TS12_3.00	M09828_3.00	MS30_3.00	ENSMUSG00000025927	Tfap2b	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	AP2B_MOUSE.H11MO.0.B	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010908_3.00	F024_3.00	TS12_3.00	M00168_3.00	MS02_3.00	ENSMUSG00000028640	Tfap2c	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	Tcfap2c_2912	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010908_3.00	F024_3.00	TS12_3.00	M09829_3.00	MS30_3.00	ENSMUSG00000028640	Tfap2c	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	AP2C_MOUSE.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010909_3.00	F024_3.00	TS12_3.00	M00169_3.00	MS02_3.00	ENSMUSG00000042477	Tfap2e	Mus_musculus	D	AP-2	TF_AP-2	1	0.7	Tcfap2e_3713	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M00166_3.00	MS02_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	Tcfap2a_2337	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M00167_3.00	MS02_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	Tcfap2b_3988	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M00168_3.00	MS02_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	Tcfap2c_2912	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M00169_3.00	MS02_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	Tcfap2e_3713	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02957_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2B_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02958_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2B_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02959_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2B_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02960_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2C_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02961_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2C_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02962_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2C_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02963_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2C_4	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02964_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2C_5	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
